File:;C:\Users\Korinek\BP dvorak\QHA_LH_m45deg_pol.NSI;;
Data Type:;Far Field;;
Polarization:;E-principal;;
;;;
Frequency (GHz);;0.8695;0.8695
Theta (deg);Phi (deg);Amp (dB);
-45;-35;-0.218612670898437;-20.9218463897705
-45;-34;-0.197624206542969;-21.7215919494629
-45;-33;-0.174617767333984;-22.5112953186035
-45;-32;-0.151611328125;-23.2798900604248
-45;-31;-0.132560729980469;-24.0731353759766
-45;-30;-0.114158630371094;-24.8570404052734
-45;-29;-0.101020812988281;-25.6547870635986
-45;-28;-0.0859756469726562;-26.4271602630615
-45;-27;-0.068817138671875;-27.1799850463867
-45;-26;-0.0596542358398437;-27.978931427002
-45;-25;-0.0468101501464844;-28.7632961273193
-45;-24;-0.0385932922363281;-29.5438747406006
-45;-23;-0.0291862487792969;-30.278600692749
-45;-22;-0.0211715698242187;-31.0369663238525
-45;-21;-0.0165328979492187;-31.8052406311035
-45;-20;-0.0111007690429687;-32.5219268798828
-45;-19;-0.0075836181640625;-33.3409080505371
-45;-18;-0.00260162353515625;-34.0642852783203
-45;-17;0;-34.8089790344238
-45;-16;-0.00455093383789062;-35.5976333618164
-45;-15;-0.00413131713867187;-36.3465118408203
-45;-14;-0.00701141357421875;-37.114444732666
-45;-13;-0.0139961242675781;-37.8864135742187
-45;-12;-0.0195579528808594;-38.6463928222656
-45;-11;-0.0236587524414062;-39.3585891723633
-45;-10;-0.0327911376953125;-40.1244926452637
-45;-9;-0.0434684753417969;-40.8824691772461
-45;-8;-0.0565910339355469;-41.6304321289062
-45;-7;-0.0662689208984375;-42.4158020019531
-45;-6;-0.0790443420410156;-43.1608848571777
-45;-5;-0.0941429138183594;-43.9221343994141
-45;-4;-0.109714508056641;-44.7021522521973
-45;-3;-0.127197265625;-45.450439453125
-45;-2;-0.149101257324219;-46.2642250061035
-45;-1;-0.171051025390625;-47.0728797912598
-45;0;-0.187145233154297;-47.8258781433105
-45;1;-0.212528228759766;-48.6118011474609
-45;2;-0.234619140625;-49.3796157836914
-45;3;-0.261734008789062;-50.2048301696777
-45;4;-0.287071228027344;-50.9628791809082
-45;5;-0.313880920410156;-51.7685585021973
-45;6;-0.337379455566406;-52.5641899108887
-45;7;-0.369350433349609;-53.3960151672363
-45;8;-0.399925231933594;-54.1944961547852
-45;9;-0.431789398193359;-55.0568656921387
-45;10;-0.461940765380859;-55.8732872009277
-45;11;-0.497779846191406;-56.6734962463379
-45;12;-0.532367706298828;-57.5437164306641
-45;13;-0.566413879394531;-58.338996887207
-45;14;-0.60345458984375;-59.2137031555176
-45;15;-0.643379211425781;-60.0387916564941
-45;16;-0.679668426513672;-60.8949356079102
-45;17;-0.718677520751953;-61.7199935913086
-45;18;-0.75921630859375;-62.6350402832031
-45;19;-0.79803466796875;-63.4975090026855
-45;20;-0.84027099609375;-64.4152984619141
-45;21;-0.88360595703125;-65.2640609741211
-45;22;-0.924045562744141;-66.1707458496094
-45;23;-0.973487854003906;-67.1091995239258
-45;24;-1.02118682861328;-68.0361938476562
-45;25;-1.06351852416992;-69.0036849975586
-45;26;-1.10465621948242;-69.8953170776367
-45;27;-1.15694427490234;-70.8404006958008
-45;28;-1.20217514038086;-71.8136672973633
-45;29;-1.25222015380859;-72.8033447265625
-45;30;-1.29988861083984;-73.7590866088867
-45;31;-1.34846115112305;-74.761962890625
-45;32;-1.39691543579102;-75.7616195678711
-45;33;-1.44445419311523;-76.7331085205078
-45;34;-1.49262619018555;-77.7618713378906
-45;35;-1.54082107543945;-78.8050842285156
-45;36;-1.58994674682617;-79.8295211791992
-45;37;-1.64359664916992;-80.9294204711914
-45;38;-1.68983840942383;-81.9584579467773
-45;39;-1.74386596679687;-83.0453948974609
-45;40;-1.79444122314453;-84.1494979858398
-45;41;-1.8446159362793;-85.2321624755859
-45;42;-1.88723754882812;-86.3091278076172
-45;43;-1.93987655639648;-87.4510498046875
-45;44;-1.99066925048828;-88.5657653808594
-45;45;-2.0387077331543;-89.7688522338867
-45;46;-2.08554458618164;-90.879638671875
-45;47;-2.13416290283203;-92.0912246704102
-45;48;-2.17885208129883;-93.2625885009766
-45;49;-2.22701644897461;-94.4442596435547
-45;50;-2.27180480957031;-95.6651611328125
-45;51;-2.31057739257812;-96.871452331543
-45;52;-2.35479736328125;-98.0911636352539
-45;53;-2.39858627319336;-99.305549621582
-45;54;-2.44002532958984;-100.555244445801
-45;55;-2.47775268554687;-101.822212219238
-45;56;-2.51386642456055;-103.085540771484
-45;57;-2.55331420898437;-104.338356018066
-45;58;-2.58683013916016;-105.653244018555
-45;59;-2.61767959594727;-106.95841217041
-45;60;-2.65694808959961;-108.269226074219
-45;61;-2.68076324462891;-109.589538574219
-45;62;-2.70647811889648;-110.875793457031
-45;63;-2.7278938293457;-112.187126159668
-45;64;-2.75221252441406;-113.512817382812
-45;65;-2.77003479003906;-114.834045410156
-45;66;-2.78996276855469;-116.181678771973
-45;67;-2.8058967590332;-117.481712341309
-45;68;-2.81874084472656;-118.852981567383
-45;69;-2.82998657226562;-120.167121887207
-45;70;-2.8403205871582;-121.590019226074
