111535.00;5000.45637;N;01426.80069;E;399.7;6.331;+026.94;0096670;+26.1;022.7;2;12;1.51;0.84;1.26;-2369;1436;-17164;7214;44;-150;74;-4985;9841;-3276;
111536.00;5000.45664;N;01426.79728;E;405.4;16.250;+026.71;0096495;+25.8;022.7;2;12;1.48;0.82;1.23;2169;9292;-14040;6722;95;30;146;-6690;744;-3276;
111537.00;5000.45713;N;01426.79251;E;410.3;22.532;+026.61;0096496;+25.7;022.7;2;12;1.49;0.83;1.24;2917;12390;-9302;13554;50;27;110;11839;5480;-3276;
111538.00;5000.45794;N;01426.78823;E;415.2;17.746;+026.46;0096679;+25.3;022.7;2;12;1.48;0.82;1.23;-290;10834;-15648;10696;8;160;176;-9915;14747;-3276;
111539.00;5000.45826;N;01426.78638;E;421.2;4.166;+026.12;0096603;+25.2;022.7;2;12;1.49;0.83;1.24;-612;7144;-10096;7604;49;109;173;-1814;-1041;-3276;
111540.00;5000.45716;N;01426.78596;E;427.2;12.202;+025.90;0096537;+25.0;022.7;2;12;1.50;0.83;1.25;-569;4008;-8236;8930;8;-34;174;-1154;-5720;-3276;
111541.00;5000.45470;N;01426.78473;E;433.2;19.944;+025.73;0096479;+24.7;022.7;2;12;1.48;0.82;1.23;-3504;670;-1130;-956;29;-19;164;-2826;19463;-3276;
111542.00;5000.45164;N;01426.78046;E;438.3;29.964;+025.53;0096420;+24.6;022.8;2;12;1.49;0.83;1.24;-2308;-538;-5040;3060;8;-24;172;-1848;22665;-3276;
111552.00;5000.44504;N;01426.73999;E;485.9;29.349;+024.26;0095565;+22.8;023.5;2;12;1.21;0.68;1.00;467;1792;-832;5284;3;-90;141;-1223;14338;-3276;
111553.00;5000.44443;N;01426.73410;E;491.0;23.932;+024.01;0095398;+22.6;023.7;2;12;1.21;0.68;1.00;-3628;10172;-10636;16622;96;97;155;24982;11179;-3276;
111555.00;5000.44416;N;01426.72287;E;501.2;22.514;+023.87;0095221;+22.3;024.0;2;12;1.23;0.69;1.01;-978;9248;-11962;15292;55;108;163;6713;-2032;-3276;
111556.00;5000.44557;N;01426.71912;E;505.9;14.102;+023.78;0095359;+22.2;024.2;2;12;1.30;0.76;1.05;616;11320;-8678;9898;2;-112;122;2221;2013;-3276;
111558.00;5000.44554;N;01426.71743;E;513.8;6.361;+023.48;0095569;+22.0;024.2;2;12;1.21;0.68;1.00;1619;10010;-13146;11848;5;-51;172;496;-1607;-3276;
111559.00;5000.44386;N;01426.71697;E;517.9;13.209;+023.27;0095517;+21.7;024.5;2;12;1.23;0.69;1.01;508;7904;-11954;9560;2;-4;182;-2304;20033;-3276;
111600.00;5000.44107;N;01426.71578;E;522.0;20.928;+023.15;0095488;+21.6;024.6;2;12;1.23;0.69;1.01;-1011;12714;-6200;12334;34;130;155;7325;16636;-3276;
111604.00;5000.43359;N;01426.69514;E;537.4;26.142;+022.87;0095291;+21.2;024.8;2;12;1.21;0.68;1.00;1476;5456;-1866;10164;41;20;176;-6325;17106;-3276;
111610.00;5000.42808;N;01426.68074;E;564.9;31.087;+022.29;0094748;+20.5;025.3;2;12;1.21;0.68;1.00;-175;4950;-964;8980;82;210;108;4270;9511;-3276;
